,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape
Eastern Cape,1.0,8.896626996650249e-10,0.0,0.0,0.0,0.0,0.0,3.9473309145048577e-28,0.0
Free State,8.896626996650249e-10,1.0,0.0,5.768743534883794e-226,2.8428334750608726e-84,3.338256743380601e-58,1.1377650583389234e-53,8.09574106653644e-45,0.0
Gauteng,0.0,0.0,1.0,2.4338383244339568e-200,6.349850005058174e-210,0.0,0.0,0.0,0.0
KwaZulu-Natal,0.0,5.768743534883794e-226,2.4338383244339568e-200,1.0,9.401808236696429e-63,2.779883688697714e-258,0.0,0.0,0.0
Limpopo,0.0,2.8428334750608726e-84,6.349850005058174e-210,9.401808236696429e-63,1.0,6.5614392200399156e-12,2.0045674136841182e-24,4.331131705532209e-266,0.0
Mpumalanga,0.0,3.338256743380601e-58,0.0,2.779883688697714e-258,6.5614392200399156e-12,1.0,0.06922671469540936,1.7529709884775562e-233,0.0
North West,0.0,1.1377650583389234e-53,0.0,0.0,2.0045674136841182e-24,0.06922671469540936,1.0,1.1469105820747046e-232,0.0
Northern Cape,3.9473309145048577e-28,8.09574106653644e-45,0.0,0.0,4.331131705532209e-266,1.7529709884775562e-233,1.1469105820747046e-232,1.0,0.0
Western Cape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
